id,address,city,end_date,name,prize_money,start_date,state,url,zip,map_link,organizer,inserted_at,updated_at
f443756b-2770-4564-9b39-937d20759c58,823 Campbell Street,Camden,2022-04-17,APP South Carolina Pickleball Open,0,2022-04-14,SC,https://usapickleball.org/event/app-south-carolina-pickleball-open/,29020,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=823+Campbell+Street+Camden+SC+29020+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
8b235207-d98c-4eb7-b72a-5ed23749a1fc,351 South Euclid Avenue,La Habra,2022-04-24,iPickle Pacific Southwest Open,0,2022-04-22,CA,https://usapickleball.org/event/ipickle-pacific-southwest-open/,90631,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=351+South+Euclid+Avenue+La+Habra+CA+90631+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
637c68e8-bd3d-479d-b889-10113342f80d,27650 Dickason Drive,Valencia,2022-04-24,Paseo Classic,0,2022-04-22,CA,https://usapickleball.org/event/paseo-classic-2/,91355,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=27650+Dickason+Drive+Valencia+CA+91355+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
d5733c68-51ec-4ae2-8b58-fd5e6b32a30b,15941 Donald Curtis Dr,Woodbridge,2022-04-24,2022 Legends Spring Fling,0,2022-04-22,VA,https://usapickleball.org/event/2022-legends-spring-fling/,22191,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=15941+Donald+Curtis+Dr+Woodbridge+VA+22191+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
9707c175-ed00-4e34-bc7b-c2d17b0e5ab6,3253 Alma Rd,McKinney,2022-05-01,2022 USA Pickleball Mid-South Regional Diamond Amateur Championship,0,2022-04-28,TX,https://usapickleball.org/event/2022-usa-pickleball-mid-south-regional-diamond-amateur-championship/,75070,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=3253+Alma+Rd+McKinney+TX+75070+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
ca8ef084-6837-40e8-bcbd-ed0681d8a080,One Legacy Drive,Mesa,,Legacy Singles Shootout,0,2022-04-30,AZ,https://usapickleball.org/event/legacy-singles-shootout/,85212,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=One+Legacy+Drive+Mesa+AZ+85212+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
cff3aafd-c330-40a4-9c89-001d5f19195a,1435 Main St,Cedar Park,2022-05-08,Cedar Park Paddle Battle,0,2022-05-04,TX,https://usapickleball.org/event/cedar-park-paddle-battle-4/,78613,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1435+Main+St+Cedar+Park+TX+78613+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
553adf2c-e3fa-47d0-8512-41fd63da019e,747 Gravois Bluffs Boulevard,Fenton,2022-05-08,APP $60K St. Louis Open,60,2022-05-04,MO,https://usapickleball.org/event/app-60k-st-louis-open/,63026,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=747+Gravois+Bluffs+Boulevard+Fenton+MO+63026+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
4298c1d1-6d9e-4723-837c-1e3ad6fe7b2a,1451 Middle Gulf Drive,Sanibel Island,2022-05-07,Sanibel Sundial Cinco De Mayo Fiesta,0,2022-05-05,FL,https://usapickleball.org/event/sanibel-sundial-cinco-de-mayo-fiesta/,33957,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1451+Middle+Gulf+Drive+Sanibel+Island+FL+33957+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
a5396e95-c7b9-4681-b344-d254bba4f421,345 Championship Lane,Templeton,2022-05-15,Mama Loves Pickleball,0,2022-05-12,CA,https://usapickleball.org/event/mama-loves-pickleball/,93465,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=345+Championship+Lane+Templeton+CA+93465+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
7609bf14-a397-45e2-acbe-2dbfdee25ecc,2145 S Breiel Blvd,Middletown,2022-05-15,APP $35K Cincinnati Open,35,2022-05-12,OH,https://usapickleball.org/event/app-35k-cincinnati-open/,45044,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=2145+S+Breiel+Blvd+Middletown+OH+45044+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
8b956465-48c6-4015-9bc6-b0e0aeb6477b,11 Clubhouse Drive,Newport Beach,2022-05-15,Newport Beach Classic,0,2022-05-13,CA,https://usapickleball.org/event/newport-beach-classic/,92660,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=11+Clubhouse+Drive+Newport+Beach+CA+92660+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
912c37a9-d6be-41e8-8d55-5fe75d405b30,One Legacy Drive,Mesa,2022-05-15,Celebrity Tanning Open,0,2022-05-13,AZ,https://usapickleball.org/event/celebrity-tanning-open-2/,85212,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=One+Legacy+Drive+Mesa+AZ+85212+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
64019d8d-c1ac-4a72-af6e-3d5cf5a43b5f,1 Old Golf Course Rd,Monterey,2022-05-15,Monterey Bay Pickleball Open,0,2022-05-13,CA,https://usapickleball.org/event/monterey-bay-pickleball-open/,93940,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1+Old+Golf+Course+Rd+Monterey+CA+93940+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
f2d5e0fb-b746-46f1-98aa-ee26643aa68e,360 Grange Road,Allentown,2022-05-22,Spring Shoot Out at Grange Park,0,2022-05-20,PA,https://usapickleball.org/event/spring-shoot-out-at-grange-park/,18106,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=360+Grange+Road+Allentown+PA+18106+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
1034c8c4-9f84-465a-9a24-51fcb38e5de0,3400 Gateway Blvd,Prescott,2022-05-22,Prescott Spring Classic,0,2022-05-20,AZ,https://usapickleball.org/event/prescott-spring-classic/,86303,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=3400+Gateway+Blvd+Prescott+AZ+86303+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
0b92666c-9257-4b82-8f25-4551d77bd437,568 Pine St.,Omak,2022-05-22,North Cascades Spring Classic,0,2022-05-20,WA,https://usapickleball.org/event/north-cascades-spring-classic-2/,98841,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=568+Pine+St.+Omak+WA+98841+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
7cbb1374-4796-4ab7-99e6-b7735ba751c3,1 Legacy Drive,Mesa,2022-05-22,Legacy Under The Lights Series – May,0,2022-05-20,AZ,https://usapickleball.org/event/legacy-under-the-lights-series-may/,85212,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1+Legacy+Drive+Mesa+AZ+85212+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
02c3c49c-0d9e-4d03-963e-4f62c9d4c1e5,Flushing Meadows - Corona Park,Flushing Meadows,2022-05-29,APP $125k NYC Open,125,2022-05-25,NY,https://usapickleball.org/event/app-125k-nyc-open/,11368,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Flushing+Meadows+-+Corona+Park+Flushing+Meadows+NY+11368+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
8ffebf02-e6ad-400f-a4d8-610b46bf3acd,5620 Grand Dr.,St. Louis,2022-05-29,2022 USA Pickleball Middle States Regional Championships,0,2022-05-26,MO,https://usapickleball.org/event/2022-usa-pickleball-middle-states-regional-championships/,63112,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=5620+Grand+Dr.+St.+Louis+MO+63112+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
